SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,NA,Condo/Co-op,425 23rd Ave S Unit A109,Seattle,WA,98144,330000,1,1,Seattle,596,NA,2005,120,554,383,Active,NA,NA,https://www.redfin.com/WA/Seattle/425-23rd-Ave-S-98144/unit-A109/home/2091148,NWMLS as Distributed by MLS Grid,2268753,N,Y,47.5982517,-122.302551
MLS Listing,NA,Condo/Co-op,626 4th Ave W #104,Seattle,WA,98119,326000,1,1,Queen Anne,553,NA,1996,130,590,582,Active,NA,NA,https://www.redfin.com/WA/Seattle/626-4th-Ave-W-98119/unit-104/home/12091096,NWMLS as Distributed by MLS Grid,2265097,N,Y,47.6254273,-122.3616011
MLS Listing,NA,Condo/Co-op,1808 Minor Ave #500,Seattle,WA,98101,360000,1,1,Denny Triangle,310,NA,2020,133,1161,352,Active,NA,NA,https://www.redfin.com/WA/Seattle/1808-Minor-Ave-98101/unit-500/home/171367036,NWMLS as Distributed by MLS Grid,2264412,N,Y,47.61699,-122.3305817
MLS Listing,NA,Condo/Co-op,1000 Aurora Ave N #311,Seattle,WA,98109,374950,1,1,Seattle,762,NA,1999,147,492,656,Active,NA,NA,https://www.redfin.com/WA/Seattle/1000-Aurora-Ave-N-98109/unit-311/home/190499379,NWMLS as Distributed by MLS Grid,2251823,N,Y,47.6282339,-122.3431942
MLS Listing,NA,Condo/Co-op,76 Cedar St #809,Seattle,WA,98121,398000,1,1,Belltown,588,NA,2008,239,677,515,Active,NA,NA,https://www.redfin.com/WA/Seattle/76-Cedar-St-98121/unit-809/home/17383362,NWMLS as Distributed by MLS Grid,2202245,N,Y,47.6154974,-122.3515229
MLS Listing,NA,Condo/Co-op,2510 6th Ave #2603,Seattle,WA,98121,635000,1,1,Denny Triangle,677,NA,2021,1,938,668,Active,NA,NA,https://www.redfin.com/WA/Seattle/2510-6th-Ave-98121/unit-2603/home/185436432,NWMLS as Distributed by MLS Grid,2311896,N,Y,47.6182832,-122.344644
MLS Listing,NA,Condo/Co-op,909 5th Ave #805,Seattle,WA,98164,525000,1,1,Downtown,808,NA,2008,1,650,1013,Active,NA,NA,https://www.redfin.com/WA/Seattle/909-5th-Ave-98164/unit-805/home/17381518,NWMLS as Distributed by MLS Grid,2312138,N,Y,47.6062753,-122.332007
MLS Listing,NA,Condo/Co-op,125 Warren Ave N Unit N,Seattle,WA,98109,299000,1,1,Queen Anne,590,NA,1907,1,507,611,Active,NA,NA,https://www.redfin.com/WA/Seattle/125-Warren-Ave-N-98109/unit-N/home/12306647,NWMLS as Distributed by MLS Grid,2311831,N,Y,47.6194111,-122.3544142
MLS Listing,NA,Condo/Co-op,1105 Spring St #701,Seattle,WA,98104,279000,1,1,First Hill,NA,NA,1950,1,NA,669,Active,December-8-2024 11:00 AM,December-8-2024 01:00 PM,https://www.redfin.com/WA/Seattle/1105-Spring-St-98104/unit-701/home/12318360,NWMLS as Distributed by MLS Grid,2312422,N,Y,47.6099647,-122.3252977
MLS Listing,NA,Condo/Co-op,108 5th Ave S #511,Seattle,WA,98104,364000,1,1,International District,693,NA,2001,1,525,593,Active,NA,NA,https://www.redfin.com/WA/Seattle/108-5th-Ave-S-98104/unit-511/home/17087423,NWMLS as Distributed by MLS Grid,2312376,N,Y,47.6013297,-122.3272284
